Name,Symbol,Search Volume (30d)
Stellar,XLM,2788
Bitcoin,BTC,2724
Shiba Inu,SHIB,2310
Dogecoin,DOGE,2053
Cardano,ADA,2046
Avalanche,AVAX,2032
Sui,SUI,2013
Hedera,HBAR,1747
Solana,SOL,1345
XRP,XRP,1282
