Name,Symbol,Search Volume (30d)
Stellar,XLM,2748
Sui,SUI,2389
Cardano,ADA,2250
Avalanche,AVAX,2090
Bitcoin,BTC,2081
Dogecoin,DOGE,1942
Hedera,HBAR,1690
XRP,XRP,996
Solana,SOL,905
TRON,TRX,769
