Name,Symbol,Search Volume (1d)
Bitcoin,BTC,12287
Avalanche,AVAX,10990
Solana,SOL,10496
Stellar,XLM,10305
Dogecoin,DOGE,10053
XRP,XRP,9432
Shiba Inu,SHIB,7662
Sui,SUI,6128
TRON,TRX,4878
Cardano,ADA,4384
