Name,Symbol,Search Volume (7d)
Stellar,XLM,10194
Bitcoin,BTC,9847
Shiba Inu,SHIB,7842
Sui,SUI,7772
Cardano,ADA,7133
Dogecoin,DOGE,6223
XRP,XRP,5908
Hedera,HBAR,5431
Avalanche,AVAX,4001
Solana,SOL,2443
