Name,Symbol,Search Volume (7d)
Bitcoin,BTC,9994
Cardano,ADA,8630
TRON,TRX,5905
Avalanche,AVAX,5456
XRP,XRP,5056
Dogecoin,DOGE,3758
Solana,SOL,3647
Chainlink,LINK,3448
Shiba Inu,SHIB,3028
Hedera,HBAR,1837
